"evt","perceived_at","game_id","season","day","player_id","player_name"
"Nagomi Nava is Magmatic! Nagomi Nava hits a solo home run!","2020-10-12 16:06:18.607774","34e90f96-6ade-4857-a006-4b8f306e2b2a",9,0,"89f74891-2e25-4b5a-bd99-c95ba3f36aa0","Nagomi Nava"
"Malik Destiny is Magmatic! Malik Destiny hits a solo home run!","2020-10-12 20:09:20.609144","0148a26c-6cab-4985-ba80-dc36e19648fe",9,4,"1301ee81-406e-43d9-b2bb-55ca6e0f7765","Malik Destiny"
"Margarito Nava is Magmatic! Margarito Nava hits a solo home run!","2020-10-12 20:11:57.6112","d4f8f63b-7c85-4aa4-85cd-8eb37c07a280",9,4,"718dea1a-d9a8-4c2b-933a-f0667b5250e6","Margarito Nava"
"Wyatt Glover is Magmatic! Wyatt Glover hits a solo home run!","2020-10-12 20:12:07.109658","ca9d8e6c-95d2-4b3f-87ea-1c1f7dbe124b",9,4,"e16c3f28-eecd-4571-be1a-606bbac36b2b","Wyatt Glover"
"Fish Summer is Magmatic! Fish Summer hits a solo home run!","2020-10-13 02:21:36.179333","806a2f7c-5f1e-435b-96d2-77bf19175593",9,10,"d89da2d2-674c-4b85-8959-a4bd406f760a","Fish Summer"
"Andrew Solis is Magmatic! Andrew Solis hits a 2-run home run!","2020-10-13 03:17:14.12219","32343328-53a3-4f40-8b62-45ca0193447b",9,11,"f38c5d80-093f-46eb-99d6-942aa45cd921","Andrew Solis"
"Andrew Solis is Magmatic! Andrew Solis hits a 2-run home run!","2020-10-13 04:04:12.617493","b31050bf-f348-48b9-9313-9fb001b11040",9,12,"f38c5d80-093f-46eb-99d6-942aa45cd921","Andrew Solis"
"Nagomi Mcdaniel is Magmatic! Nagomi Mcdaniel hits a solo home run!","2020-10-13 04:15:13.107829","d0650879-8b40-4fad-b476-9f68c3a60435",9,12,"c0732e36-3731-4f1a-abdc-daa9563b6506","Nagomi Mcdaniel"
"Andrew Solis is Magmatic! Andrew Solis hits a solo home run!","2020-10-13 05:02:07.619471","8d1840d3-bd4c-467b-b9dd-bc06d9681843",9,13,"f38c5d80-093f-46eb-99d6-942aa45cd921","Andrew Solis"
"Malik Destiny is Magmatic! Malik Destiny hits a 3-run home run!","2020-10-13 08:20:50.111043","63a37610-7e66-4240-900c-b043b8eb1501",9,16,"1301ee81-406e-43d9-b2bb-55ca6e0f7765","Malik Destiny"
"Nagomi Mcdaniel is Magmatic! Nagomi Mcdaniel hits a solo home run!","2020-10-13 08:26:17.609471","d55087e1-8463-4d12-bcfe-5bbf276062c0",9,16,"c0732e36-3731-4f1a-abdc-daa9563b6506","Nagomi Mcdaniel"
"Jaxon Buckley is Magmatic! Jaxon Buckley hits a solo home run!","2020-10-13 11:18:04.621879","49a54c95-56ba-469f-8ad4-0d99023c7b65",9,19,"405dfadf-d435-4307-82f6-8eba2287e87a","Jaxon Buckley"
